Feature,Importance
EXT_SOURCE_3,0.14970662691002076
EXT_SOURCE_2,0.1412349559867702
DAYS_BIRTH,0.051216276098577776
DAYS_EMPLOYED,0.04703375390367435
DAYS_LAST_PHONE_CHANGE,0.0389325701072951
DAYS_ID_PUBLISH,0.03769545640186295
AMT_CREDIT,0.036949095053475565
AMT_GOODS_PRICE,0.03676019801105172
AMT_ANNUITY,0.03580400853787533
DAYS_REGISTRATION,0.032946673095403334
REGION_POPULATION_RELATIVE,0.024705172093219388
AMT_INCOME_TOTAL,0.02291403469079083
TOTALAREA_MODE,0.02143239448194461
NAME_EDUCATION_TYPE,0.02129866595120918
ORGANIZATION_TYPE,0.019975778362456394
HOUR_APPR_PROCESS_START,0.017660782971429104
YEARS_BEGINEXPLUATATION_MEDI,0.015656627804928047
YEARS_BEGINEXPLUATATION_AVG,0.01551353952336492
YEARS_BEGINEXPLUATATION_MODE,0.015194807660498686
CODE_GENDER,0.01380334781787005
OCCUPATION_TYPE,0.012934991375695886
WEEKDAY_APPR_PROCESS_START,0.012614565671193373
AMT_REQ_CREDIT_BUREAU_YEAR,0.01258297608824326
NAME_INCOME_TYPE,0.011513005289697701
OBS_30_CNT_SOCIAL_CIRCLE,0.010324700884983086
OBS_60_CNT_SOCIAL_CIRCLE,0.010047423356486151
REGION_RATING_CLIENT_W_CITY,0.00902153424996859
FLOORSMAX_AVG,0.008349726792359782
REGION_RATING_CLIENT,0.008339794674496331
FLAG_DOCUMENT_3,0.008002971567138858
FLOORSMAX_MEDI,0.007612227264471349
NAME_FAMILY_STATUS,0.007564674368691294
CNT_FAM_MEMBERS,0.006721143493890493
FLOORSMAX_MODE,0.006413510216782011
FLAG_OWN_CAR,0.006112177961108167
NAME_CONTRACT_TYPE,0.004966606655388761
CNT_CHILDREN,0.004512995917819697
NAME_TYPE_SUITE,0.004429154626222051
FLAG_EMP_PHONE,0.004373818557608898
REG_CITY_NOT_WORK_CITY,0.0042784399249795775
AMT_REQ_CREDIT_BUREAU_QRT,0.004246499797831024
DEF_30_CNT_SOCIAL_CIRCLE,0.003924295303480639
NAME_HOUSING_TYPE,0.003921491507262008
FLAG_PHONE,0.00383974621503526
FLAG_OWN_REALTY,0.003582448066654689
AMT_REQ_CREDIT_BUREAU_MON,0.0034407371295469475
REG_CITY_NOT_LIVE_CITY,0.0031503021910462875
DEF_60_CNT_SOCIAL_CIRCLE,0.003144413252193494
FLAG_WORK_PHONE,0.002863040232001751
LIVE_CITY_NOT_WORK_CITY,0.002304703513011085
FLAG_DOCUMENT_8,0.001662365428590004
FLAG_DOCUMENT_6,0.0012776775110121639
FLAG_EMAIL,0.0011976132869331193
REG_REGION_NOT_WORK_REGION,0.001004439167253808
LIVE_REGION_NOT_WORK_REGION,0.0008027570605580487
AMT_REQ_CREDIT_BUREAU_WEEK,0.0006707325701003483
FLAG_DOCUMENT_16,0.00035043943961664454
FLAG_DOCUMENT_5,0.00033633949951773865
REG_REGION_NOT_LIVE_REGION,0.0003308920213612402
FLAG_DOCUMENT_18,0.0002373078585501364
EMERGENCYSTATE_MODE,0.0001390161675960692
AMT_REQ_CREDIT_BUREAU_DAY,0.00010460281816422066
FLAG_DOCUMENT_11,8.170391807150242e-05
AMT_REQ_CREDIT_BUREAU_HOUR,6.081149690860095e-05
FLAG_DOCUMENT_13,6.005510901879588e-05
FLAG_DOCUMENT_9,5.795157583196471e-05
FLAG_DOCUMENT_14,2.618588354999592e-05
FLAG_CONT_MOBILE,2.1489689708141176e-05
FLAG_DOCUMENT_15,5.5677502545718985e-06
FLAG_DOCUMENT_19,2.557837349782749e-06
FLAG_DOCUMENT_21,6.123010464253539e-07
FLAG_MOBIL,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_10,0.0
